# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population;;;;
2019 rank;Name;State;2019 estimate;Land area
277;Jurupa Valley;California;109 527;111,1
278;Sandy Springs;Georgia;109 452;97,6
279;Gresham;Oregon;109 381;60,3
280;Lewisville;Texas;109 212;95,1
281;Hillsboro;Oregon;109 128;64,7
282;Ventura;California;109 106;56,5
283;Greeley;Colorado;108 649;123,8
284;Inglewood;California;108 151;23,6
285;Waterbury;Connecticut;107 568;73,8
286;League City;Texas;107 536;132,6
287;Santa Maria;California;107 263;59,1
288;Tyler;Texas;106 985;146,6
289;Davie;Florida;106 306;90,4
290;Lakewood;New Jersey;1 063;64
291;Daly City;California;10 628;19,7
292;Boulder;Colorado;105 673;64,2
293;Allen;Texas;105 623;70,2
294;West Covina;California;105 101;41,4
295;Sparks;Nevada;105 006;93
296;Wichita Falls;Texas;104 683;187
297;Green Bay;Wisconsin;104 578;117,6
298;San Mateo;California;10 443;31,3
299;Norwalk;California;103 949;25,1
300;Rialto;California;103 526;57,8
301;Las Cruces;New Mexico;103 432;199,2
302;Chico;California;103 301;86,2
303;El Cajon;California;102 708;37,6
304;Burbank;California;102 511;45,1
305;South Bend;Indiana;102 026;107,2
306;Renton;Washington;101 751;60,6
307;Vista;California;101 638;48,4
308;Davenport;Iowa;10 159;162,9
309;Edinburg;Texas;10 117;97,4
310;Tuscaloosa;Alabama;101 129;185,7
311;Carmel;Indiana;101 068;123
312;Spokane Valley;Washington;10 106;97,6
313;San Angelo;Texas;101 004;155,1
314;Vacaville;California;10 067;75,1
315;Clinton;Michigan;100 471;72,8
316;Bend;Oregon;100 421;85,7
317;Woodbridge;New Jersey;100 145;60,3
